result: freq 2412 rssi 000, noise -95, max_magnitude 0160 max_index 029 bitmap_weight 008 tsf 344558514918 | datamax = 4096, datamin = 4, datasquaresum = 52600
signal: -117.104401, pixels: -2036867056, freq: 2402.546875, startfreq: 2350.000000, noise: -95, rssi: 0, data: 18, datasquaresum: 52600, highlight: 1 
signal: -114.605637, pixels: -2036867056, freq: 2402.890625, startfreq: 2350.000000, noise: -95, rssi: 0, data: 24, datasquaresum: 52600, highlight: 1 
signal: -113.582581, pixels: -2036867056, freq: 2403.234375, startfreq: 2350.000000, noise: -95, rssi: 0, data: 27, datasquaresum: 52600, highlight: 1 
signal: -112.382629, pixels: -2036867056, freq: 2403.578125, startfreq: 2350.000000, noise: -95, rssi: 0, data: 31, datasquaresum: 52600, highlight: 1 
signal: -110.614182, pixels: -2036867056, freq: 2403.921875, startfreq: 2350.000000, noise: -95, rssi: 0, data: 38, datasquaresum: 52600, highlight: 1 
signal: -114.251053, pixels: -2036867056, freq: 2404.265625, startfreq: 2350.000000, noise: -95, rssi: 0, data: 25, datasquaresum: 52600, highlight: 1 
signal: -113.266693, pixels: -2036867056, freq: 2404.609375, startfreq: 2350.000000, noise: -95, rssi: 0, data: 28, datasquaresum: 52600, highlight: 1 
signal: -110.614182, pixels: -2036867056, freq: 2404.953125, startfreq: 2350.000000, noise: -95, rssi: 0, data: 38, datasquaresum: 52600, highlight: 1 
signal: -109.744873, pixels: -2036867056, freq: 2405.296875, startfreq: 2350.000000, noise: -95, rssi: 0, data: 42, datasquaresum: 52600, highlight: 1 
signal: -106.086258, pixels: -2036867056, freq: 2405.640625, startfreq: 2350.000000, noise: -95, rssi: 0, data: 64, datasquaresum: 52600, highlight: 1 
signal: -126.646835, pixels: -2036867056, freq: 2405.984375, startfreq: 2350.000000, noise: -95, rssi: 0, data: 6, datasquaresum: 52600, highlight: 1 
signal: -115.361404, pixels: -2036867056, freq: 2406.328125, startfreq: 2350.000000, noise: -95, rssi: 0, data: 22, datasquaresum: 52600, highlight: 1 
signal: -112.382629, pixels: -2036867056, freq: 2406.671875, startfreq: 2350.000000, noise: -95, rssi: 0, data: 31, datasquaresum: 52600, highlight: 1 
signal: -113.266693, pixels: -2036867056, freq: 2407.015625, startfreq: 2350.000000, noise: -95, rssi: 0, data: 28, datasquaresum: 52600, highlight: 1 
signal: -118.688034, pixels: -2036867056, freq: 2407.359375, startfreq: 2350.000000, noise: -95, rssi: 0, data: 15, datasquaresum: 52600, highlight: 1 
signal: -111.580276, pixels: -2036867056, freq: 2407.703125, startfreq: 2350.000000, noise: -95, rssi: 0, data: 34, datasquaresum: 52600, highlight: 1 
signal: -107.889793, pixels: -2036867056, freq: 2408.046875, startfreq: 2350.000000, noise: -95, rssi: 0, data: 52, datasquaresum: 52600, highlight: 1 
signal: -114.251053, pixels: -2036867056, freq: 2408.390625, startfreq: 2350.000000, noise: -95, rssi: 0, data: 25, datasquaresum: 52600, highlight: 1 
signal: -118.688034, pixels: -2036867056, freq: 2408.734375, startfreq: 2350.000000, noise: -95, rssi: 0, data: 15, datasquaresum: 52600, highlight: 1 
signal: -111.328491, pixels: -2036867056, freq: 2409.078125, startfreq: 2350.000000, noise: -95, rssi: 0, data: 35, datasquaresum: 52600, highlight: 1 
signal: -114.975296, pixels: -2036867056, freq: 2409.421875, startfreq: 2350.000000, noise: -95, rssi: 0, data: 23, datasquaresum: 52600, highlight: 1 
signal: -114.975296, pixels: -2036867056, freq: 2409.765625, startfreq: 2350.000000, noise: -95, rssi: 0, data: 23, datasquaresum: 52600, highlight: 1 
signal: -122.209854, pixels: -2036867056, freq: 2410.109375, startfreq: 2350.000000, noise: -95, rssi: 0, data: 10, datasquaresum: 52600, highlight: 1 
signal: -111.328491, pixels: -2036867056, freq: 2410.453125, startfreq: 2350.000000, noise: -95, rssi: 0, data: 35, datasquaresum: 52600, highlight: 1 
signal: -136.189255, pixels: -2036867056, freq: 2410.796875, startfreq: 2350.000000, noise: -95, rssi: 0, data: 2, datasquaresum: 52600, highlight: 1 
signal: -117.104401, pixels: -2036867056, freq: 2411.140625, startfreq: 2350.000000, noise: -95, rssi: 0, data: 18, datasquaresum: 52600, highlight: 1 
signal: -114.605637, pixels: -2036867056, freq: 2411.484375, startfreq: 2350.000000, noise: -95, rssi: 0, data: 24, datasquaresum: 52600, highlight: 1 
signal: -114.975296, pixels: -2036867056, freq: 2411.828125, startfreq: 2350.000000, noise: -95, rssi: 0, data: 23, datasquaresum: 52600, highlight: 1 
signal: -112.961899, pixels: -2036867056, freq: 2412.171875, startfreq: 2350.000000, noise: -95, rssi: 0, data: 29, datasquaresum: 52600, highlight: 1 
signal: -111.328491, pixels: -2036867056, freq: 2412.515625, startfreq: 2350.000000, noise: -95, rssi: 0, data: 35, datasquaresum: 52600, highlight: 1 
