result: freq 2412 rssi -03, noise -95, max_magnitude 0234 max_index 029 bitmap_weight 008 tsf 37158642117 | datamax = 8464, datamin = 9, datasquaresum = 81895
signal: -124.210014, pixels: 378130448, freq: 2402.546875, startfreq: 2350.000000, noise: -95, rssi: -3, data: 14, datasquaresum: 81895, highlight: 1 
signal: -119.173775, pixels: 378130448, freq: 2402.890625, startfreq: 2350.000000, noise: -95, rssi: -3, data: 25, datasquaresum: 81895, highlight: 1 
signal: -114.068321, pixels: 378130448, freq: 2403.234375, startfreq: 2350.000000, noise: -95, rssi: -3, data: 45, datasquaresum: 81895, highlight: 1 
signal: -115.768539, pixels: 378130448, freq: 2403.578125, startfreq: 2350.000000, noise: -95, rssi: -3, data: 37, datasquaresum: 81895, highlight: 1 
signal: -110.355591, pixels: 378130448, freq: 2403.921875, startfreq: 2350.000000, noise: -95, rssi: -3, data: 69, datasquaresum: 81895, highlight: 1 
signal: -114.263527, pixels: 378130448, freq: 2404.265625, startfreq: 2350.000000, noise: -95, rssi: -3, data: 44, datasquaresum: 81895, highlight: 1 
signal: -115.536903, pixels: 378130448, freq: 2404.609375, startfreq: 2350.000000, noise: -95, rssi: -3, data: 38, datasquaresum: 81895, highlight: 1 
signal: -117.884613, pixels: 378130448, freq: 2404.953125, startfreq: 2350.000000, noise: -95, rssi: -3, data: 29, datasquaresum: 81895, highlight: 1 
signal: -107.856819, pixels: 378130448, freq: 2405.296875, startfreq: 2350.000000, noise: -95, rssi: -3, data: 92, datasquaresum: 81895, highlight: 1 
signal: -116.762299, pixels: 378130448, freq: 2405.640625, startfreq: 2350.000000, noise: -95, rssi: -3, data: 33, datasquaresum: 81895, highlight: 1 
signal: -117.305344, pixels: 378130448, freq: 2405.984375, startfreq: 2350.000000, noise: -95, rssi: -3, data: 31, datasquaresum: 81895, highlight: 1 
signal: -110.482399, pixels: 378130448, freq: 2406.328125, startfreq: 2350.000000, noise: -95, rssi: -3, data: 68, datasquaresum: 81895, highlight: 1 
signal: -114.876900, pixels: 378130448, freq: 2406.671875, startfreq: 2350.000000, noise: -95, rssi: -3, data: 41, datasquaresum: 81895, highlight: 1 
signal: -112.325325, pixels: 378130448, freq: 2407.015625, startfreq: 2350.000000, noise: -95, rssi: -3, data: 55, datasquaresum: 81895, highlight: 1 
signal: -109.985931, pixels: 378130448, freq: 2407.359375, startfreq: 2350.000000, noise: -95, rssi: -3, data: 72, datasquaresum: 81895, highlight: 1 
signal: -119.898018, pixels: 378130448, freq: 2407.703125, startfreq: 2350.000000, noise: -95, rssi: -3, data: 23, datasquaresum: 81895, highlight: 1 
signal: -121.111977, pixels: 378130448, freq: 2408.046875, startfreq: 2350.000000, noise: -95, rssi: -3, data: 20, datasquaresum: 81895, highlight: 1 
