result: freq 2412 rssi 039, noise -95, max_magnitude 0842 max_index 001 bitmap_weight 002 tsf 372478835159 | datamax = 705600, datamin = 576, datasquaresum = 876576
signal: -56.942310, pixels: 745783312, freq: 2402.546875, startfreq: 2350.000000, noise: -95, rssi: 39, data: 840, datasquaresum: 876576, highlight: 1 
signal: -69.582771, pixels: 745783312, freq: 2402.890625, startfreq: 2350.000000, noise: -95, rssi: 39, data: 196, datasquaresum: 876576, highlight: 1 
signal: -72.505341, pixels: 745783312, freq: 2403.234375, startfreq: 2350.000000, noise: -95, rssi: 39, data: 140, datasquaresum: 876576, highlight: 1 
signal: -73.559464, pixels: 745783312, freq: 2403.578125, startfreq: 2350.000000, noise: -95, rssi: 39, data: 124, datasquaresum: 876576, highlight: 1 
signal: -75.782471, pixels: 745783312, freq: 2403.921875, startfreq: 2350.000000, noise: -95, rssi: 39, data: 96, datasquaresum: 876576, highlight: 1 
signal: -76.152138, pixels: 745783312, freq: 2404.265625, startfreq: 2350.000000, noise: -95, rssi: 39, data: 92, datasquaresum: 876576, highlight: 1 
signal: -77.366096, pixels: 745783312, freq: 2404.609375, startfreq: 2350.000000, noise: -95, rssi: 39, data: 80, datasquaresum: 876576, highlight: 1 
signal: -78.281250, pixels: 745783312, freq: 2404.953125, startfreq: 2350.000000, noise: -95, rssi: 39, data: 72, datasquaresum: 876576, highlight: 1 
signal: -78.281250, pixels: 745783312, freq: 2405.296875, startfreq: 2350.000000, noise: -95, rssi: 39, data: 72, datasquaresum: 876576, highlight: 1 
signal: -79.864868, pixels: 745783312, freq: 2405.640625, startfreq: 2350.000000, noise: -95, rssi: 39, data: 60, datasquaresum: 876576, highlight: 1 
signal: -80.464134, pixels: 745783312, freq: 2405.984375, startfreq: 2350.000000, noise: -95, rssi: 39, data: 56, datasquaresum: 876576, highlight: 1 
signal: -81.107834, pixels: 745783312, freq: 2406.328125, startfreq: 2350.000000, noise: -95, rssi: 39, data: 52, datasquaresum: 876576, highlight: 1 
signal: -81.107834, pixels: 745783312, freq: 2406.671875, startfreq: 2350.000000, noise: -95, rssi: 39, data: 52, datasquaresum: 876576, highlight: 1 
signal: -81.107834, pixels: 745783312, freq: 2407.015625, startfreq: 2350.000000, noise: -95, rssi: 39, data: 52, datasquaresum: 876576, highlight: 1 
signal: -81.803070, pixels: 745783312, freq: 2407.359375, startfreq: 2350.000000, noise: -95, rssi: 39, data: 48, datasquaresum: 876576, highlight: 1 
signal: -81.803070, pixels: 745783312, freq: 2407.703125, startfreq: 2350.000000, noise: -95, rssi: 39, data: 48, datasquaresum: 876576, highlight: 1 
signal: -81.803070, pixels: 745783312, freq: 2408.046875, startfreq: 2350.000000, noise: -95, rssi: 39, data: 48, datasquaresum: 876576, highlight: 1 
signal: -82.558838, pixels: 745783312, freq: 2408.390625, startfreq: 2350.000000, noise: -95, rssi: 39, data: 44, datasquaresum: 876576, highlight: 1 
signal: -82.558838, pixels: 745783312, freq: 2408.734375, startfreq: 2350.000000, noise: -95, rssi: 39, data: 44, datasquaresum: 876576, highlight: 1 
signal: -83.386696, pixels: 745783312, freq: 2409.078125, startfreq: 2350.000000, noise: -95, rssi: 39, data: 40, datasquaresum: 876576, highlight: 1 
signal: -83.386696, pixels: 745783312, freq: 2409.421875, startfreq: 2350.000000, noise: -95, rssi: 39, data: 40, datasquaresum: 876576, highlight: 1 
signal: -84.301842, pixels: 745783312, freq: 2409.765625, startfreq: 2350.000000, noise: -95, rssi: 39, data: 36, datasquaresum: 876576, highlight: 1 
signal: -83.386696, pixels: 745783312, freq: 2410.109375, startfreq: 2350.000000, noise: -95, rssi: 39, data: 40, datasquaresum: 876576, highlight: 1 
signal: -83.386696, pixels: 745783312, freq: 2410.453125, startfreq: 2350.000000, noise: -95, rssi: 39, data: 40, datasquaresum: 876576, highlight: 1 
signal: -83.386696, pixels: 745783312, freq: 2410.796875, startfreq: 2350.000000, noise: -95, rssi: 39, data: 40, datasquaresum: 876576, highlight: 1 
signal: -83.386696, pixels: 745783312, freq: 2411.140625, startfreq: 2350.000000, noise: -95, rssi: 39, data: 40, datasquaresum: 876576, highlight: 1 
signal: -84.301842, pixels: 745783312, freq: 2411.484375, startfreq: 2350.000000, noise: -95, rssi: 39, data: 36, datasquaresum: 876576, highlight: 1 
signal: -84.301842, pixels: 745783312, freq: 2411.828125, startfreq: 2350.000000, noise: -95, rssi: 39, data: 36, datasquaresum: 876576, highlight: 1 
signal: -84.301842, pixels: 745783312, freq: 2412.171875, startfreq: 2350.000000, noise: -95, rssi: 39, data: 36, datasquaresum: 876576, highlight: 1 
signal: -84.301842, pixels: 745783312, freq: 2412.515625, startfreq: 2350.000000, noise: -95, rssi: 39, data: 36, datasquaresum: 876576, highlight: 1 
signal: -86.484734, pixels: 745783312, freq: 2412.859375, startfreq: 2350.000000, noise: -95, rssi: 39, data: 28, datasquaresum: 876576, highlight: 1 
signal: -84.301842, pixels: 745783312, freq: 2413.203125, startfreq: 2350.000000, noise: -95, rssi: 39, data: 36, datasquaresum: 876576, highlight: 1 
signal: -85.324898, pixels: 745783312, freq: 2413.546875, startfreq: 2350.000000, noise: -95, rssi: 39, data: 32, datasquaresum: 876576, highlight: 1 
