result: freq 2412 rssi 000, noise -95, max_magnitude 0103 max_index 029 bitmap_weight 034 tsf 1781255871 | datamax = 3969, datamin = 25, datasquaresum = 62420
signal: -107.105408, pixels: 1548898320, freq: 2402.546875, startfreq: 2350.000000, noise: -95, rssi: 0, data: 62, datasquaresum: 62420, highlight: 1 
signal: -113.705276, pixels: 1548898320, freq: 2402.890625, startfreq: 2350.000000, noise: -95, rssi: 0, data: 29, datasquaresum: 62420, highlight: 1 
signal: -113.705276, pixels: 1548898320, freq: 2403.234375, startfreq: 2350.000000, noise: -95, rssi: 0, data: 29, datasquaresum: 62420, highlight: 1 
signal: -112.071877, pixels: 1548898320, freq: 2403.578125, startfreq: 2350.000000, noise: -95, rssi: 0, data: 35, datasquaresum: 62420, highlight: 1 
signal: -106.966431, pixels: 1548898320, freq: 2403.921875, startfreq: 2350.000000, noise: -95, rssi: 0, data: 63, datasquaresum: 62420, highlight: 1 
signal: -120.030678, pixels: 1548898320, freq: 2404.265625, startfreq: 2350.000000, noise: -95, rssi: 0, data: 14, datasquaresum: 62420, highlight: 1 
signal: -112.071877, pixels: 1548898320, freq: 2404.609375, startfreq: 2350.000000, noise: -95, rssi: 0, data: 35, datasquaresum: 62420, highlight: 1 
signal: -108.801834, pixels: 1548898320, freq: 2404.953125, startfreq: 2350.000000, noise: -95, rssi: 0, data: 51, datasquaresum: 62420, highlight: 1 
signal: -113.410812, pixels: 1548898320, freq: 2405.296875, startfreq: 2350.000000, noise: -95, rssi: 0, data: 30, datasquaresum: 62420, highlight: 1 
signal: -108.801834, pixels: 1548898320, freq: 2405.640625, startfreq: 2350.000000, noise: -95, rssi: 0, data: 51, datasquaresum: 62420, highlight: 1 
signal: -114.325966, pixels: 1548898320, freq: 2405.984375, startfreq: 2350.000000, noise: -95, rssi: 0, data: 27, datasquaresum: 62420, highlight: 1 
signal: -107.536194, pixels: 1548898320, freq: 2406.328125, startfreq: 2350.000000, noise: -95, rssi: 0, data: 59, datasquaresum: 62420, highlight: 1 
signal: -113.705276, pixels: 1548898320, freq: 2406.671875, startfreq: 2350.000000, noise: -95, rssi: 0, data: 29, datasquaresum: 62420, highlight: 1 
