result: freq 2412 rssi -02, noise -95, max_magnitude 0096 max_index 029 bitmap_weight 033 tsf 2416556619 | datamax = 3600, datamin = 49, datasquaresum = 57279
signal: -113.950378, pixels: 122466320, freq: 2402.546875, startfreq: 2350.000000, noise: -95, rssi: -2, data: 34, datasquaresum: 57279, highlight: 1 
signal: -110.776031, pixels: 122466320, freq: 2402.890625, startfreq: 2350.000000, noise: -95, rssi: -2, data: 49, datasquaresum: 57279, highlight: 1 
signal: -112.324280, pixels: 122466320, freq: 2403.234375, startfreq: 2350.000000, noise: -95, rssi: -2, data: 41, datasquaresum: 57279, highlight: 1 
signal: -111.324799, pixels: 122466320, freq: 2403.578125, startfreq: 2350.000000, noise: -95, rssi: -2, data: 46, datasquaresum: 57279, highlight: 1 
signal: -123.752106, pixels: 122466320, freq: 2403.921875, startfreq: 2350.000000, noise: -95, rssi: -2, data: 11, datasquaresum: 57279, highlight: 1 
signal: -113.215919, pixels: 122466320, freq: 2404.265625, startfreq: 2350.000000, noise: -95, rssi: -2, data: 37, datasquaresum: 57279, highlight: 1 
signal: -127.677994, pixels: 122466320, freq: 2404.609375, startfreq: 2350.000000, noise: -95, rssi: -2, data: 7, datasquaresum: 57279, highlight: 1 
signal: -122.996330, pixels: 122466320, freq: 2404.953125, startfreq: 2350.000000, noise: -95, rssi: -2, data: 12, datasquaresum: 57279, highlight: 1 
signal: -114.209679, pixels: 122466320, freq: 2405.296875, startfreq: 2350.000000, noise: -95, rssi: -2, data: 33, datasquaresum: 57279, highlight: 1 
signal: -116.975731, pixels: 122466320, freq: 2405.640625, startfreq: 2350.000000, noise: -95, rssi: -2, data: 24, datasquaresum: 57279, highlight: 1 
signal: -117.345398, pixels: 122466320, freq: 2405.984375, startfreq: 2350.000000, noise: -95, rssi: -2, data: 23, datasquaresum: 57279, highlight: 1 
signal: -118.559357, pixels: 122466320, freq: 2406.328125, startfreq: 2350.000000, noise: -95, rssi: -2, data: 20, datasquaresum: 57279, highlight: 1 
signal: -121.657394, pixels: 122466320, freq: 2406.671875, startfreq: 2350.000000, noise: -95, rssi: -2, data: 14, datasquaresum: 57279, highlight: 1 
signal: -109.772705, pixels: 122466320, freq: 2407.015625, startfreq: 2350.000000, noise: -95, rssi: -2, data: 55, datasquaresum: 57279, highlight: 1 
signal: -115.952682, pixels: 122466320, freq: 2407.359375, startfreq: 2350.000000, noise: -95, rssi: -2, data: 27, datasquaresum: 57279, highlight: 1 
signal: -112.758667, pixels: 122466320, freq: 2407.703125, startfreq: 2350.000000, noise: -95, rssi: -2, data: 39, datasquaresum: 57279, highlight: 1 
signal: -120.497559, pixels: 122466320, freq: 2408.046875, startfreq: 2350.000000, noise: -95, rssi: -2, data: 16, datasquaresum: 57279, highlight: 1 
signal: -122.301086, pixels: 122466320, freq: 2408.390625, startfreq: 2350.000000, noise: -95, rssi: -2, data: 13, datasquaresum: 57279, highlight: 1 
signal: -114.476959, pixels: 122466320, freq: 2408.734375, startfreq: 2350.000000, noise: -95, rssi: -2, data: 32, datasquaresum: 57279, highlight: 1 
signal: -116.975731, pixels: 122466320, freq: 2409.078125, startfreq: 2350.000000, noise: -95, rssi: -2, data: 24, datasquaresum: 57279, highlight: 1 
signal: -112.984283, pixels: 122466320, freq: 2409.421875, startfreq: 2350.000000, noise: -95, rssi: -2, data: 38, datasquaresum: 57279, highlight: 1 
signal: -114.752724, pixels: 122466320, freq: 2409.765625, startfreq: 2350.000000, noise: -95, rssi: -2, data: 31, datasquaresum: 57279, highlight: 1 
signal: -113.950378, pixels: 122466320, freq: 2410.109375, startfreq: 2350.000000, noise: -95, rssi: -2, data: 34, datasquaresum: 57279, highlight: 1 
signal: -109.616196, pixels: 122466320, freq: 2410.453125, startfreq: 2350.000000, noise: -95, rssi: -2, data: 56, datasquaresum: 57279, highlight: 1 
signal: -112.984283, pixels: 122466320, freq: 2410.796875, startfreq: 2350.000000, noise: -95, rssi: -2, data: 38, datasquaresum: 57279, highlight: 1 
signal: -121.058128, pixels: 122466320, freq: 2411.140625, startfreq: 2350.000000, noise: -95, rssi: -2, data: 15, datasquaresum: 57279, highlight: 1 
signal: -109.311401, pixels: 122466320, freq: 2411.484375, startfreq: 2350.000000, noise: -95, rssi: -2, data: 58, datasquaresum: 57279, highlight: 1 
